Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades 
533096,ADANIPOWER,A,159,163,151,163,6682097,10790.53,50096
532921,ADANIPORTS,A,568,581.4,560.05,579.65,970855,5553.85,22199
500325,RELIANCE,A,2440.4,2449.45,2410.35,2415.3,221415,5378.33,18929
540065,RBLBANK,A,158.65,161.25,157.6,158.85,3166745,5056.63,1574
512599,ADANIENT,A,1641,1685,1561.1,1619.55,307074,4988.62,29126
543320,ZOMATO,A,51.85,55,51.8,54.5,7805714,4175.62,21964
543384,NYKAA,A,140.9,149.5,140.1,143.55,2589676,3763.95,21466
500425,AMBUJACEM,A,349,356,345.65,353.3,1022381,3584.7,16479
500034,BAJFINANCE,A,6438,6441.5,6345.1,6366.7,43229,2764.38,9005
532667,SUZLON,A,8.9,9.09,8.44,8.54,30493860,2680.86,14053
500112,SBIN,A,532.4,534,522.1,525.1,507031,2674.43,11037
532822,IDEA,A,7.18,7.23,6.86,7.08,37868637,2649.36,30663
500470,TATASTEEL,A,112.55,112.75,111.05,112.35,2335671,2618.76,18035
532648,YESBANK,A,16.1,16.75,16.1,16.6,15506194,2549.16,16680
532461,PNB,A,49.7,50.5,49.3,49.5,5070986,2525.78,8733
543458,AWL,A,439,455.1,420.1,429.45,536289,2348.68,18019
500087,CIPLA,A,999,999,956.2,964.05,238130,2302.63,14666
541143,BDL,A,873,925.1,861.4,918.45,252770,2278.4,13932
532947,IRB,A,290,292.35,274.75,283.25,796823,2262.22,3494
500209,INFY,A,1589,1602.45,1582.6,1593.25,134312,2141.62,8429
500180,HDFCBANK,A,1657.55,1668.7,1634.55,1639.8,119852,1981.88,12284
500820,ASIANPAINT,A,2842,2851.9,2814,2827.35,67299,1901.94,8038
532134,BANKBARODA,A,167.55,168.45,163.4,164.3,1133326,1880.47,6012
541450,ADANIGREEN,A,610.9,625,597.5,597.5,310248,1874.83,20153
541154,HAL,A,2640,2643.7,2564.4,2586.8,71938,1865.24,7336
540180,VBL,A,1292,1334.6,1287.15,1307.85,140007,1843.89,10902
532538,ULTRACEMCO,A,7310,7489,7301.25,7426.8,24414,1807.17,4904
500038,BALRAMCHIN,A,375,382,370.5,377.4,473785,1800.55,2535
532221,SONATSOFTW,A,684.1,753,681.6,737.05,245219,1800.52,13592
532555,NTPC,A,167.7,170,167.4,167.8,1033236,1738.6,4595
532155,GAIL,A,96.2,96.45,95.3,95.65,1728407,1658.62,4351
532343,TVSMOTOR,A,1111.95,1136,1104.6,1131.65,136200,1535.63,4228
532540,TCS,A,3506,3522,3475.2,3486.1,43050,1502.88,4247
532755,TECHM,A,1128.9,1157.75,1120.05,1144.1,127198,1457.66,5580
539437,IDFCFIRSTB,A,56.2,56.2,54.8,55,2616385,1445.06,11588
500510,LT,A,2246.9,2251.75,2214.9,2225.15,63302,1413.84,5494
500570,TATAMOTORS,A,441.45,445.2,436.5,442.85,320138,1413.81,7993
540005,LTIM,A,4852.05,4955,4842.5,4887.75,26464,1299.61,5085
526371,NMDC,A,121.25,121.9,118,118.7,1061600,1256.84,4552
517334,MOTHERSON,A,81.9,84.2,81.3,81.9,1516067,1250.06,7127
532368,BCG,A,24.5,25.6,24.4,24.5,4980274,1230.86,6863
512267,MMWL,B,12.7,12.7,11.91,12.05,10258541,1230.54,233
500302,PEL,A,870.05,874.05,840,842.85,140186,1187.37,2632
532281,HCLTECH,A,1106.1,1134.5,1106.1,1115.2,104238,1170.38,5458
500387,SHREECEM,A,25649.45,26915,25586.5,26540.6,4264,1130.99,2008
543412,STARHEALTH,A,511.2,577,511.2,565.35,200588,1091.65,11147
533179,PERSISTENT,A,4910.2,5095.7,4895.6,5063.9,21212,1069.6,3206
500400,TATAPOWER,A,204.9,205.3,202.25,203.8,523128,1065.41,6724
531637,PRAVEG,X,511.8,559.8,511,544.95,191951,1029.05,4871
533339,ZENTEC,B,238.25,253.5,238.25,251.3,411236,1022.28,8125
532627,JPPOWER,A,6.78,7.04,6.75,6.91,14303229,991.13,7471
524715,SUNPHARMA,A,990,992.15,974.75,985.15,96679,951.59,4172
504067,ZENSARTECH,A,266.05,276.85,261.35,271.25,332715,906.88,3003
542920,SUMICHEM,A,428.55,482,428.55,475.2,188134,878.92,6435
500875,ITC,A,384.15,387.45,381.55,384,224297,862.18,4872
535789,IBULHSGFIN,A,113.95,113.95,110.8,111.65,765823,858.89,8093
539254,ADANITRANS,A,887.95,898.3,873.9,873.9,93676,820.28,3424
539310,THINKINK,B,80,81.7,78,80.4,1012709,813.85,866
517174,HONAUT,A,37340.1,37532.75,36560,36767.95,2125,787.19,137
543243,EQUITASBNK,A,59.8,63,58.8,61.9,1260477,781.16,8007
500228,JSWSTEEL,A,725.85,732.3,721.3,722.7,107368,776.86,2090
532848,DELTACORP,A,202.35,203.75,195.65,196.05,393325,776.75,5855
500113,SAIL,A,85.85,86.55,84.9,86.1,901365,774.57,5706
532174,ICICIBANK,A,863.4,866.4,850.45,852.1,88728,762.63,5994
500247,KOTAKBANK,A,1762.4,1766.6,1730,1737.25,43574,761.01,5283
543396,PAYTM,A,623.1,633.3,621.2,630.6,118477,745.48,5192
532605,JBMA,A,558.5,584,558.3,580.45,127683,733.78,5817
500103,BHEL,A,72.1,72.5,70.6,71.55,999392,716.11,4990
530723,ASITCFIN,X,141.1,152,136.65,140,468722,709.56,13
500300,GRASIM,A,1621.3,1649.4,1621.3,1631.85,42848,698.75,2523
500049,BEL,A,96.8,96.8,94.2,94.85,732393,694.28,7238
533106,OIL,A,262.35,263.65,254.9,259.1,264243,681.63,4677
543227,HAPPSTMNDS,A,849.55,925.15,847.8,905.6,75444,681.01,5688
507944,BAJAJST,X,1089,1183,1080,1166.65,57488,655.9,3139
532523,BIOCON,A,232.55,233.25,226.55,227.7,279090,639.19,6503
543257,IRFC,A,28.85,29,28.15,28.45,2222226,632.85,7841
540750,IEX,A,135.6,139.25,135,138.15,452215,621.46,7830
532500,MARUTI,A,8807.05,8850,8675.05,8690.35,7057,617.88,2127
533655,TRITURBINE,A,289.35,305.1,284.7,299.55,207238,617.56,6393
513228,PENIND,B,77.8,81,75.35,80.3,782716,614.91,7680
500114,TITAN,A,2500.8,2507,2466.95,2474.5,24701,613.72,3645
505200,EICHERMOT,A,3285.75,3335.45,3275,3289.7,18514,611.86,2848
526642,MIRZAINT,A,273.05,284.15,273.05,281.85,215111,600.57,4928
543529,DELHIVERY,A,325.05,344.35,325.05,339.9,175228,595.13,6837
539336,GUJGAS,A,477.05,502.95,477.05,499.3,119367,590.1,4012
500410,ACC,A,1832,1861.95,1811.15,1850.75,32125,589.06,3073
541153,BANDHANBNK,A,234.15,238.95,234.15,235.65,245417,582.03,3978
532149,BANKINDIA,A,75.55,76.2,74.8,75.6,768235,580.3,4013
500285,SPICEJET,A,37.55,39.25,37.25,38.35,1473365,566.17,4971
500116,IDBI,A,48.75,50.15,48.75,49.85,1137563,564.93,4940
505872,WPIL,B,1805,1925,1804.25,1894.8,30001,562.04,2369
500295,VEDL,A,314.45,315.75,310.05,310.9,179490,561.56,3942
524000,POONAWALLA,A,315,319.55,310.5,312.1,177171,556.62,3488
500378,JINDALSAW,A,147,151,144.9,149.55,373849,555.84,4900
532430,BFUTILITIE,B,367.6,368.65,361,362,151964,555.01,3436
540376,DMART,A,3535.05,3572,3535.05,3552.7,15451,549.65,3832
500696,HINDUNILVR,A,2515.5,2542.75,2508.7,2510.7,21484,541.61,2133
542649,RVNL,A,68.3,68.75,66.05,66.35,804319,538.47,7269
532488,DIVISLAB,A,2847.95,2919.15,2802,2901.6,18485,533.67,2370
543654,MEDANTA,B,517.45,533.35,508.2,517.75,101439,529.54,5157
530965,IOC,A,80.55,80.95,79.3,79.55,648129,518.75,5412
500670,GNFC,A,535.1,563.25,535.1,553.9,91092,506.66,3907
541729,HDFCAMC,A,1846.3,1916.8,1846.3,1857.2,26990,506.28,3966
540777,HDFCLIFE,A,504.7,522.5,500,507.95,98969,505.43,3711
521064,TRIDENT,A,31.6,32.5,31.45,32.05,1579437,504.94,6188
500877,APOLLOTYRE,A,332.35,333.85,327.5,330.35,152823,504.69,2624
500312,ONGC,A,157.05,157.8,154.45,154.8,320358,500.05,3744
542651,KPITTECH,A,855.9,861,825,827.85,59090,496.48,3104
532215,AXISBANK,A,856.3,860,843.05,846.55,58270,495.61,2587
543284,EKI,A,670,688.2,651,688.2,72202,490.77,1881
500520,M&M,A,1341.35,1354.65,1333.15,1346,35677,480.88,1834
532483,CANBK,A,293.3,296,288,288.9,162001,472.48,2087
532477,UNIONBANK,A,70.6,71.55,69.9,70.35,668456,470.98,3575
539448,INDIGO,A,1883.05,1890.6,1860.25,1881.7,24637,462.71,4277
500010,HDFC,A,2691.05,2703.7,2649.4,2655.2,17096,457.86,1968
532749,ALLCARGO,A,342.05,371,342,363.95,126009,453.69,4765
540699,DIXON,A,2715.1,2749.25,2695,2704.45,16597,452.34,3302
532505,UCOBANK,A,26.15,26.65,25.2,25.45,1742682,450.65,4181
534618,WAAREERTL,X,645,665,612.1,623.7,69170,448.07,1299
532659,IDFC,A,75.35,76.35,74.1,75.85,584092,439.11,4073
500459,PGHH,A,13601.25,13833.55,13601.25,13689.5,3187,436.65,131
524404,MARKSANS,A,69.2,70.95,68.95,70,612582,430.29,3298
532868,DLF,A,364.15,370.45,363,364.75,116128,427.17,2609
543237,MAZDOCK,A,763,770.05,742.95,749.45,56248,426.97,2403
532454,BHARTIARTL,A,780.35,793.45,777.25,779.1,53877,423.48,2113
541019,HGINFRA,A,764.05,768.9,737.15,751.3,55886,420.22,3822
541601,RAJNISH,B,19.7,20.15,19.4,19.45,2147284,419.96,1123
500575,VOLTAS,A,855.6,882.5,850.55,873.2,48254,419.78,2487
532978,BAJAJFINSV,A,1413.95,1425.6,1400.75,1404.95,29673,419.18,2264
538607,TOYAMSL,X,18.45,19.4,17.6,19,2218297,415.59,1132
532187,INDUSINDBK,A,1119,1122.7,1103.8,1108.8,37090,413.37,2050
543590,RHETAN,M,456,470,456,466.2,88000,407.34,32
505537,ZEEL,A,215.3,216,212.8,214.9,189334,406.23,2559
543526,LICI,A,603.55,604.35,597.05,598.55,67722,405.69,2962
500408,TATAELXSI,A,6709.3,6720,6617.65,6669.75,6056,404.59,1451
531209,NUCLEUS,B,555.05,620.1,542.45,576.55,69504,403.58,4054
500690,GSFC,A,129.6,132.75,129.3,131.2,305040,401.27,3963
